LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,PCT_CITY11,PCT_CITY12,PCT_CITY13,PCT_SUB21,PCT_SUB22,PCT_SUB23,PCT_TOWN31,PCT_TOWN32,PCT_TOWN33,PCT_RURAL41,PCT_RURAL42,PCT_RURAL43
400232,Self Development Charter School (79072),4,1709 N GREENFIELD RD,MESA,AZ,85205,4,4013,Maricopa County,33.446580000000004,-111.73499100000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,04010,04010,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400235,Excalibur Charter Schools Inc. (79214),4,1045 S SAN MARCOS DR,Apache Junction,AZ,85120,4,4021,Pinal County,33.405071,-111.554107,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",405,04007,04007,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400237,Paramount Education Studies Inc (79205),4,11039 W OLIVE AVE,PEORIA,AZ,85345,4,4013,Maricopa County,33.564840000000004,-112.297026,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",408,04029,04029,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400238,Metropolitan Arts Institute Inc. (5181),4,1700 N 7th Ave,Phoenix,AZ,85007,4,4013,Maricopa County,33.4666,-112.08300000000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",403,04005,04005,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400239,P.L.C. Charter Schools (6235),4,2504 S 91ST AVE,TOLLESON,AZ,85353,4,4013,Maricopa County,33.424,-112.2573,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",403,04022,04022,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400241,Paragon Management Inc. (5180),4,12775 N 175TH AVE,SURPRISE,AZ,85388,4,4013,Maricopa County,33.599874,-112.434419,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",409,04025,04025,2024-2025,41,0.0,0.0,0.0,42.3,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0
400243,Skyline Schools Inc. (79084),4,2020 N Arizona Ave STE 109,Chandler,AZ,85225,4,4013,Maricopa County,33.337025000000004,-111.84383700000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,04012,04012,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400244,Edkey Inc. dba Sequoia Charter School (6446),4,1460 S HORNE,MESA,AZ,85204,4,4013,Maricopa County,33.387587,-111.814937,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,04009,04009,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400246,Edkey Inc. - Sequoia Village School (79211),4,982 FULL HOUSE LN,SHOW LOW,AZ,85901,4,4017,Navajo County,34.28394,-110.12169800000001,43320,"Show Low, AZ",2,N,N,402,04007,04007,2024-2025,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.61,58.39,0.0,0.0
400248,Telesis Center for Learning Inc. (79218),4,2598 STARLITE LN,Lake Havasu City,AZ,86403,4,4015,Mohave County,34.491,-114.3173,29420,"Lake Havasu City-Kingman, AZ",1,N,N,409,04030,04030,2024-2025,13,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400254,Southern Arizona Community Academy Inc. (79000),4,2470 N TUCSON BLVD,TUCSON,AZ,85716,4,4019,Pima County,32.251762,-110.934988,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",407,04020,04020,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400255,Tucson Country Day School Inc. (79073),4,9239 E WRIGHTSTOWN RD,TUCSON,AZ,85715,4,4019,Pima County,32.243856,-110.79510800000001,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",406,04017,04017,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400258,Carden of Tucson Inc. (78858),4,5260 N ROYAL PALM DR,TUCSON,AZ,85705,4,4019,Pima County,32.303077,-111.023559,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",407,04020,04020,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400259,Southgate Academy Inc. (79085),4,850 W VALENCIA RD,TUCSON,AZ,85706,4,4019,Pima County,32.1353,-110.98270000000001,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",407,04020,04020,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400261,Eastpointe High School Inc. (78833),4,8495 E BROADWAY BLVD,TUCSON,AZ,85710,4,4019,Pima County,32.2215,-110.81110000000001,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",406,04018,04018,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400263,Patagonia Montessori Elementary School (79069),4,500 N 3RD AVE,PATAGONIA,AZ,85624,4,4023,Santa Cruz County,31.545215000000002,-110.75743000000001,35700,"Nogales, AZ",2,536,"Tucson-Nogales, AZ",407,04019,04019,2024-2025,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
400264,Santa Cruz Valley Opportunities in Education Inc. (79066),4,2875 E FRONTAGE RD,AMADO,AZ,85645,4,4023,Santa Cruz County,31.70682,-111.06369000000001,35700,"Nogales, AZ",2,536,"Tucson-Nogales, AZ",407,04021,04021,2024-2025,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
400266,PACE Preparatory Academy Inc. (79068),4,6711 E 2ND ST,PRESCOTT VLY,AZ,86314,4,4025,Yavapai County,34.57999,-112.348932,39150,"Prescott Valley-Prescott, AZ",1,N,N,402,04001,04001,2024-2025,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
400267,Kestrel Schools Inc. (79065),4,2150 E Southern Ave Suite 713,Tempe,AZ,85282,4,4013,Maricopa County,33.394063,-111.893133,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,04008,04008,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400268,Juniper Tree Academy (79064),4,3777 W 16TH ST,YUMA,AZ,85364,4,4027,Yuma County,32.697521,-114.66491500000001,49740,"Yuma, AZ",1,N,N,407,04023,04023,2024-2025,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400273,GAR LLC dba Student Choice High School (78997),4,1833 N SCOTTSDALE RD,TEMPE,AZ,85281,4,4013,Maricopa County,33.4493,-111.9251,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,04008,04008,2024-2025,12,0.0,84.81,0.0,8.41,0.0,6.78,0.0,0.0,0.0,0.0,0.0,0.0
400274,AIBT Non-Profit Charter High School - Phoenix (79053),4,6201 N 35TH AVE STE B4,PHOENIX,AZ,85017,4,4013,Maricopa County,33.527797,-112.13398000000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",403,04026,04026,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400275,Highland Free School (79061),4,510 S HIGHLAND AVE,TUCSON,AZ,85719,4,4019,Pima County,32.2153,-110.9521,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",407,04020,04020,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400276,Academy with Community Partners-Arizona Inc (79213),4,433 N HALL,MESA,AZ,85203,4,4013,Maricopa County,33.42362,-111.79309900000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",404,04009,04009,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400278,Deer Valley Charter Schools Inc. (79496),4,3050 W AGUA FRIA FWY STE 250,PHOENIX,AZ,85027,4,4013,Maricopa County,33.669981,-112.12556300000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",408,04002,04002,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400279,West Gilbert Charter Elementary School Inc. (79497),4,18052 N BLACK CANYON HWY,PHOENIX,AZ,85053,4,4013,Maricopa County,33.651525,-112.11599500000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",408,04002,04002,2024-2025,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
400280,Mohave Accelerated Learning Center (79498),4,625 MARINA BLVD,BULLHEAD CITY,AZ,86442,4,4015,Mohave County,35.101183,-114.625291,29420,"Lake Havasu City-Kingman, AZ",1,N,N,409,04030,04030,2024-2025,23,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
400281,Masada Charter School Inc. (79499),4,365 West Cannon Avenue,Colorado City,AZ,86021,4,4015,Mohave County,36.957392,-112.98207300000001,29420,"Lake Havasu City-Kingman, AZ",1,N,N,409,04030,04030,2024-2025,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
400282,Harvest Power Community Development Group Inc. (79501),4,1185 S 4TH AVE STE C,YUMA,AZ,85364,4,4027,Yuma County,32.7061,-114.62412200000001,49740,"Yuma, AZ",1,N,N,407,04023,04023,2024-2025,12,0.0,65.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
400284,Omega Alpha Academy (79503),4,1402 N SAN ANTONIO AVE,DOUGLAS,AZ,85607,4,4003,Cochise County,31.348671,-109.53442700000001,43420,"Sierra Vista-Douglas, AZ",1,N,N,407,04019,04019,2024-2025,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
400288,Premier Charter High School (79569),4,7544 W INDIAN SCHOOL RD STE A2,PHOENIX,AZ,85033,4,4013,Maricopa County,33.496048,-112.222435,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",403,04024,04024,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400290,Pan-American Elementary Charter (79578),4,3001 W. Indian School Rd.,Phoenix,AZ,85017,4,4013,Maricopa County,33.478901,-112.241696,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",403,04022,04022,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400295,Kingman Unified School District (79598),4,3033 MCDONALD AVE,KINGMAN,AZ,86401,4,4015,Mohave County,35.214542,-114.015743,29420,"Lake Havasu City-Kingman, AZ",1,N,N,409,04030,04030,2024-2025,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.84,0.0,23.68,6.77,2.7
400303,North Star Charter School Inc. (79701),4,10720 W. Indian School Road,Phoenix,AZ,85037,4,4013,Maricopa County,33.495297,-112.273302,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",403,04022,04022,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400310,Calibre Academy (79055),4,4744 W GROVERS AVE,GLENDALE,AZ,85308,4,4013,Maricopa County,33.617905,-112.39783100000001,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",409,04029,04029,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400311,ThrivePoint High School Inc. (79059),4,4744 W GROVERS AVE,GLENDALE,AZ,85308,4,4013,Maricopa County,33.648551000000005,-112.162028,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",408,04027,04027,2024-2025,11,59.84,0.0,0.0,30.69,0.0,0.0,9.47,0.0,0.0,0.0,0.0,0.0
400315,Yavapai Accommodation School District (79379),4,2972 CENTERPOINTE EAST DR,PRESCOTT,AZ,86301,4,4025,Yavapai County,34.628179,-112.41091700000001,39150,"Prescott Valley-Prescott, AZ",1,N,N,402,04001,04001,2024-2025,41,0.0,0.0,32.39,0.0,0.0,0.0,0.0,0.0,0.0,67.61,0.0,0.0
400316,Cobre Valley Institute of Technology District (79391),4,1500 Panther Dr Bldg 3 Room,Superior,AZ,85173,4,4021,Pinal County,33.278690000000005,-111.111254,38060,"Phoenix-Mesa-Chandler, AZ",1,429,"Phoenix-Mesa, AZ",402,04007,04007,2024-2025,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0
400317,Khalsa Family Services (79420),4,3701 E RIVER RD,TUCSON,AZ,85718,4,4019,Pima County,32.2767,-110.91420000000001,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",406,04018,04018,2024-2025,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400318,Aprender Tucson (79426),4,2701 S CAMPBELL AVE,TUCSON,AZ,85713,4,4019,Pima County,32.1913,-110.9424,46060,"Tucson, AZ",1,536,"Tucson-Nogales, AZ",407,04021,04021,2024-2025,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
